UID,ANSWER,ANNOTATOR
TPCCHT-000009-27,4,A217EABA3OH0KL
TPCCHT-000017-10,4,A217EABA3OH0KL
TPCCHT-000020-21,4,A217EABA3OH0KL
ATTENTION-CHECK-3W5PY7V3VUSUSICP549QYBWTUF0JYX-4,1,A217EABA3OH0KL
TPCCHT-000008-19,3,A217EABA3OH0KL
TPCCHT-000009-27,4,A33B85TN97HQ33
TPCCHT-000017-10,2,A33B85TN97HQ33
TPCCHT-000020-21,4,A33B85TN97HQ33
ATTENTION-CHECK-3W5PY7V3VUSUSICP549QYBWTUF0JYX-4,1,A33B85TN97HQ33
TPCCHT-000008-19,4,A33B85TN97HQ33
MPATHY-000091-0004,4,A39VVWV1GHLMFD
TPCCHT-000012-4,3,A39VVWV1GHLMFD
ATTENTION-CHECK-3NI0WFPPJE1L7S1XDD4SXFX4WW1067-3,4,A39VVWV1GHLMFD
TPCCHT-000000-7,2,A39VVWV1GHLMFD
MPATHY-000055-0002,3,A39VVWV1GHLMFD
MPATHY-000091-0004,2,A11YEGD0RQ9AF9
TPCCHT-000012-4,4,A11YEGD0RQ9AF9
ATTENTION-CHECK-3NI0WFPPJE1L7S1XDD4SXFX4WW1067-3,3,A11YEGD0RQ9AF9
TPCCHT-000000-7,4,A11YEGD0RQ9AF9
MPATHY-000055-0002,3,A11YEGD0RQ9AF9
MPATHY-000091-0004,1,A12ATVBE1I4567
TPCCHT-000012-4,3,A12ATVBE1I4567
ATTENTION-CHECK-3NI0WFPPJE1L7S1XDD4SXFX4WW1067-3,1,A12ATVBE1I4567
TPCCHT-000000-7,3,A12ATVBE1I4567
MPATHY-000055-0002,2,A12ATVBE1I4567
MPATHY-000091-0004,1,AU75DIKTVX5GP
TPCCHT-000012-4,3,AU75DIKTVX5GP
ATTENTION-CHECK-3NI0WFPPJE1L7S1XDD4SXFX4WW1067-3,1,AU75DIKTVX5GP
TPCCHT-000000-7,4,AU75DIKTVX5GP
MPATHY-000055-0002,2,AU75DIKTVX5GP
MPATHY-000091-0004,1,AW55OQ3IYZDET
TPCCHT-000012-4,4,AW55OQ3IYZDET
ATTENTION-CHECK-3NI0WFPPJE1L7S1XDD4SXFX4WW1067-3,1,AW55OQ3IYZDET
TPCCHT-000000-7,1,AW55OQ3IYZDET
MPATHY-000055-0002,4,AW55OQ3IYZDET
TPCCHT-000011-6,3,A17FG9GVV76H3
TPCCHT-000012-13,3,A17FG9GVV76H3
TPCCHT-000005-10,4,A17FG9GVV76H3
ATTENTION-CHECK-36KM3FWE4WX4BSF2WN9K3TX0R7L076-4,3,A17FG9GVV76H3
TPCCHT-000000-18,4,A17FG9GVV76H3
TPCCHT-000011-6,4,A11YEGD0RQ9AF9
TPCCHT-000012-13,2,A11YEGD0RQ9AF9
TPCCHT-000005-10,4,A11YEGD0RQ9AF9
ATTENTION-CHECK-36KM3FWE4WX4BSF2WN9K3TX0R7L076-4,2,A11YEGD0RQ9AF9
TPCCHT-000000-18,4,A11YEGD0RQ9AF9
TPCCHT-000011-6,1,A3914P24XPNPY3
TPCCHT-000012-13,2,A3914P24XPNPY3
TPCCHT-000005-10,2,A3914P24XPNPY3
ATTENTION-CHECK-36KM3FWE4WX4BSF2WN9K3TX0R7L076-4,1,A3914P24XPNPY3
TPCCHT-000000-18,3,A3914P24XPNPY3
TPCCHT-000011-6,4,A33B85TN97HQ33
TPCCHT-000012-13,4,A33B85TN97HQ33
TPCCHT-000005-10,4,A33B85TN97HQ33
ATTENTION-CHECK-36KM3FWE4WX4BSF2WN9K3TX0R7L076-4,1,A33B85TN97HQ33
TPCCHT-000000-18,4,A33B85TN97HQ33
TPCCHT-000011-6,1,A3PRQ2GSU42718
TPCCHT-000012-13,4,A3PRQ2GSU42718
TPCCHT-000005-10,4,A3PRQ2GSU42718
ATTENTION-CHECK-36KM3FWE4WX4BSF2WN9K3TX0R7L076-4,1,A3PRQ2GSU42718
TPCCHT-000000-18,4,A3PRQ2GSU42718
TPCCHT-000007-15,3,A39VVWV1GHLMFD
TPCCHT-000016-12,4,A39VVWV1GHLMFD
TPCCHT-000002-9,3,A39VVWV1GHLMFD
TPCCHT-000022-4,2,A39VVWV1GHLMFD
ATTENTION-CHECK-3IKMEYR0M1GZ2HP0U427QMV1UP52KY-5,2,A39VVWV1GHLMFD
TPCCHT-000007-15,1,A2BAIRVKSX5AFP
TPCCHT-000016-12,4,A2BAIRVKSX5AFP
TPCCHT-000002-9,4,A2BAIRVKSX5AFP
TPCCHT-000022-4,4,A2BAIRVKSX5AFP
ATTENTION-CHECK-3IKMEYR0M1GZ2HP0U427QMV1UP52KY-5,1,A2BAIRVKSX5AFP
TPCCHT-000007-15,4,A11YEGD0RQ9AF9
TPCCHT-000016-12,2,A11YEGD0RQ9AF9
TPCCHT-000002-9,4,A11YEGD0RQ9AF9
TPCCHT-000022-4,3,A11YEGD0RQ9AF9
ATTENTION-CHECK-3IKMEYR0M1GZ2HP0U427QMV1UP52KY-5,4,A11YEGD0RQ9AF9
TPCCHT-000007-15,4,A18T9V3QVDOGCY
TPCCHT-000016-12,4,A18T9V3QVDOGCY
TPCCHT-000002-9,4,A18T9V3QVDOGCY
TPCCHT-000022-4,4,A18T9V3QVDOGCY
ATTENTION-CHECK-3IKMEYR0M1GZ2HP0U427QMV1UP52KY-5,1,A18T9V3QVDOGCY
TPCCHT-000007-15,4,A33B85TN97HQ33
TPCCHT-000016-12,4,A33B85TN97HQ33
TPCCHT-000002-9,4,A33B85TN97HQ33
TPCCHT-000022-4,4,A33B85TN97HQ33
ATTENTION-CHECK-3IKMEYR0M1GZ2HP0U427QMV1UP52KY-5,1,A33B85TN97HQ33
TPCCHT-000020-3,3,A18T9V3QVDOGCY
MPATHY-000119-0002,4,A18T9V3QVDOGCY
TPCCHT-000015-11,2,A18T9V3QVDOGCY
TPCCHT-000021-3,1,A18T9V3QVDOGCY
ATTENTION-CHECK-335HHSX8DIQV31M8L8JR9D6DZZQHDI-5,1,A18T9V3QVDOGCY
TPCCHT-000020-3,1,A182N7RLXGSCZG
MPATHY-000119-0002,4,A182N7RLXGSCZG
TPCCHT-000015-11,1,A182N7RLXGSCZG
TPCCHT-000021-3,1,A182N7RLXGSCZG
ATTENTION-CHECK-335HHSX8DIQV31M8L8JR9D6DZZQHDI-5,1,A182N7RLXGSCZG
TPCCHT-000020-3,2,AP9FLILLQQRPD
MPATHY-000119-0002,3,AP9FLILLQQRPD
TPCCHT-000015-11,2,AP9FLILLQQRPD
TPCCHT-000021-3,1,AP9FLILLQQRPD
ATTENTION-CHECK-335HHSX8DIQV31M8L8JR9D6DZZQHDI-5,2,AP9FLILLQQRPD
TPCCHT-000020-3,4,AFNUSU88JD9NC
MPATHY-000119-0002,4,AFNUSU88JD9NC
TPCCHT-000015-11,3,AFNUSU88JD9NC
TPCCHT-000021-3,1,AFNUSU88JD9NC
ATTENTION-CHECK-335HHSX8DIQV31M8L8JR9D6DZZQHDI-5,1,AFNUSU88JD9NC
TPCCHT-000020-3,4,A217EABA3OH0KL
MPATHY-000119-0002,4,A217EABA3OH0KL
TPCCHT-000015-11,4,A217EABA3OH0KL
TPCCHT-000021-3,1,A217EABA3OH0KL
ATTENTION-CHECK-335HHSX8DIQV31M8L8JR9D6DZZQHDI-5,1,A217EABA3OH0KL
TPCCHT-000012-19,4,A11YEGD0RQ9AF9
MPATHY-000053-0002,3,A11YEGD0RQ9AF9
TPCCHT-000013-23,4,A11YEGD0RQ9AF9
TPCCHT-000019-16,2,A11YEGD0RQ9AF9
MPATHY-000106-0002,4,A11YEGD0RQ9AF9
TPCCHT-000012-19,2,A3914P24XPNPY3
MPATHY-000053-0002,4,A3914P24XPNPY3
TPCCHT-000013-23,1,A3914P24XPNPY3
TPCCHT-000019-16,2,A3914P24XPNPY3
MPATHY-000106-0002,1,A3914P24XPNPY3
TPCCHT-000012-19,4,A3PRQ2GSU42718
MPATHY-000053-0002,4,A3PRQ2GSU42718
TPCCHT-000013-23,3,A3PRQ2GSU42718
TPCCHT-000019-16,4,A3PRQ2GSU42718
MPATHY-000106-0002,1,A3PRQ2GSU42718
TPCCHT-000012-19,4,A2K3RY63E2Y45R
MPATHY-000053-0002,4,A2K3RY63E2Y45R
TPCCHT-000013-23,1,A2K3RY63E2Y45R
TPCCHT-000019-16,4,A2K3RY63E2Y45R
MPATHY-000106-0002,1,A2K3RY63E2Y45R
TPCCHT-000012-19,4,A33XXH6Q66EH34
MPATHY-000053-0002,4,A33XXH6Q66EH34
TPCCHT-000013-23,1,A33XXH6Q66EH34
