UID,SID,SEG;
MPATHY-000000-0000,Speaker,I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people_comma_ we felt like the only people in the world.;
MPATHY-000000-0001,Listener,Was this a friend you were in love with_comma_ or just a best friend?;
MPATHY-000000-0002,Speaker,This was a best friend. I miss her.;
MPATHY-000000-0003,Listener,Where has she gone?;
MPATHY-000000-0004,Speaker,We no longer talk.;
MPATHY-000000-0005,Listener,Oh was this something that happened because of an argument?;
MPATHY-000001-0000,Speaker,it feels like hitting to blank wall when i see the darkness;
MPATHY-000001-0001,Listener,Oh ya? I don't really see how;
MPATHY-000001-0002,Speaker,dont you feel so.. its a wonder ;
MPATHY-000001-0003,Listener,I do actually hit blank walls a lot of times but i get by;
MPATHY-000001-0004,Speaker,i virtually thought so.. and i used to get sweatings;
MPATHY-000001-0005,Listener,Wait what are sweatings;
MPATHY-000021-0000,Speaker,What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.;
MPATHY-000021-0001,Listener,That's very scary. I hope no one got hurt.;
MPATHY-000021-0002,Speaker,We were OK_comma_ though the tree broke through only a few feet away from my daughter.;
MPATHY-000021-0003,Listener,So happy everyone was fine!! Everything else can be fixed.;
MPATHY-000021-0004,Speaker,Indeed. We were out of the house for five months while repairs were being done_comma_ but now the house is better than ever.;
MPATHY-000021-0005,Listener,So good to hear. Might want to trim some trees lol;
MPATHY-000029-0000,Listener,I never took a drink before and my friends were all over me to take a drink;
MPATHY-000029-0001,Speaker,Why did you feel guilty for taking a drink?;
MPATHY-000029-0002,Listener,It was not my thing and the moment I took I did wrong. Later in the night I started feeling bad.;
MPATHY-000029-0003,Speaker,I can understand. I am not a big drinker myself_comma_ but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.;
MPATHY-000029-0004,Listener,Yeah I did to my mum and dad...When I started vomiting I mess my dress and mum knew. ;
MPATHY-000029-0005,Speaker,Oh yea I can understand that then... Well I am sure you learned your lesson_comma_ right?;
MPATHY-000029-0006,Listener,Yeah bad...anyway bye...Thanks for the chat. ;
MPATHY-000039-0000,Speaker,Hi I was recently on vacation and frightened half to death.;
MPATHY-000039-0001,Listener,Oh_comma_ my_comma_ what happened?;
MPATHY-000039-0002,Speaker,I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls.;
MPATHY-000039-0003,Listener,I live near the ocean_comma_ so I do understand how this can be. I hope you ran_comma_ very quickly.;
MPATHY-000039-0004,Speaker,I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories.;
MPATHY-000039-0005,Listener,I heard a story of seagulls drowning a man to death.;
MPATHY-000040-0000,Speaker,When i was younger_comma_ my mother would always take away my PC because I would always play video games on them.;
MPATHY-000040-0001,Listener,I was the same way.;
MPATHY-000040-0002,Speaker,Now that I am older though_comma_ my girlfriend tries to take away my Pc. Very rough days in my life.;
MPATHY-000040-0003,Listener,Lol. I take away my daughters now. I guess my mom passed the torch.;
MPATHY-000040-0004,Speaker,Stop doing that_comma_ it is very important to have a pc. The internet is the future and very many jobs are opening up online.;
MPATHY-000040-0005,Listener,She is 13 not at 3am;
MPATHY-000040-0006,Speaker,I think at 3am the mind is truly it's sharpest and can make great content. I do understand the age thing though. Maybe slowly give her more time as she gets older. At 15 to 16 it gets hard to control all together.;
MPATHY-000074-0000,Listener,My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. ;
MPATHY-000074-0001,Speaker,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!;
MPATHY-000074-0002,Listener,Yeah_comma_ thank you! at which situation did you feel hope for your life?;
MPATHY-000074-0003,Speaker,When my first daugther was born! i saw in new life_comma_ i thought everything in the world can change_comma_ we need to be pure as kids.;
MPATHY-000074-0004,Listener,Wow! you're right. We should learn from kids. ;
MPATHY-000074-0005,Speaker,When i see them_comma_ i believe thiw world in which we live fill with envy and hate can be rewed;
MPATHY-000090-0000,Speaker,I am afraid my neighbors are causing snakes to come over my way.;
MPATHY-000090-0001,Listener,What are they doing to cause you to think that?;
MPATHY-000090-0002,Speaker,They aren't clean and I've been getting a lot of mice_comma_ and snakes follow them I think.;
MPATHY-000090-0003,Listener,I have heard that too. You might want to contact your local district.;
MPATHY-000090-0004,Speaker,good idea;
MPATHY-000090-0005,Listener,No problem I hope everything works out;
MPATHY-012751-0000,Speaker,i ordered from a new place today;
MPATHY-012751-0001,Listener,What kind of restaurant?;
MPATHY-012751-0002,Speaker,a soul food restaurant. It was terrible.;
MPATHY-012751-0003,Listener,Oh_comma_ I'm sorry to hear that.;
MPATHY-012751-0004,Speaker,I was really disappointed;
MPATHY-012974-0000,Listener,I am looking forward to the soccer season starting again;
MPATHY-012974-0001,Speaker,Nice_comma_ you must be really anticipating it. Which soccer league will you watch?;
MPATHY-012974-0002,Listener,Today the English league starts_comma_ but I am Scottish - so I watch the Scottish league normally. I also co-own a team in Spain so will watch that too. It doesn't start for a couple of weeks.;
MPATHY-012974-0003,Speaker,Sounds good_comma_ today I'll be watching my favorite team play. I am also anticipating the match.;
MPATHY-012974-0004,Listener,Who do you support? Man Utd?;
MPATHY-012974-0005,Speaker,Yes_comma_ they take on Leicester City;
MPATHY-012974-0006,Listener,I hope they win.;
