NUMBER_1,DIALOG_1_1,DIALOG_1_2,DIALOG_1_3,DIALOG_1_4,NUMBER_2,DIALOG_2_1,DIALOG_2_2,DIALOG_2_3,DIALOG_2_4,NUMBER_3,DIALOG_3_1,DIALOG_3_2,DIALOG_3_3,DIALOG_3_4
MPATHY-000029-0001,[empty line],[empty line],I never took a drink before and my friends were all over me to take a drink;,Why did you feel guilty for taking a drink?;,MPATHY-000039-0002,[empty line],Hi I was recently on vacation and frightened half to death.;,Oh_comma_ my_comma_ what happened?;,I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls.;,MPATHY-000090-0001,[empty line],[empty line],I am afraid my neighbors are causing snakes to come over my way.;,What are they doing to cause you to think that?;
MPATHY-000000-0003,I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people_comma_ we felt like the only people in the world.;,Was this a friend you were in love with_comma_ or just a best friend?;,This was a best friend. I miss her.;,Where has she gone?;,MPATHY-000040-0006,Lol. I take away my daughters now. I guess my mom passed the torch.;,Stop doing that_comma_ it is very important to have a pc. The internet is the future and very many jobs are opening up online.;,She is 13 not at 3am;,I think at 3am the mind is truly it's sharpest and can make great content. I do understand the age thing though. Maybe slowly give her more time as she gets older. At 15 to 16 it gets hard to control all together.;,MPATHY-000039-0001,[empty line],[empty line],Hi I was recently on vacation and frightened half to death.;,Oh_comma_ my_comma_ what happened?;
MPATHY-000040-0005,Now that I am older though_comma_ my girlfriend tries to take away my Pc. Very rough days in my life.;,Lol. I take away my daughters now. I guess my mom passed the torch.;,Stop doing that_comma_ it is very important to have a pc. The internet is the future and very many jobs are opening up online.;,She is 13 not at 3am;,MPATHY-000001-0003,it feels like hitting to blank wall when i see the darkness;,Oh ya? I don't really see how;,dont you feel so.. its a wonder ;,I do actually hit blank walls a lot of times but i get by;,MPATHY-000090-0005,They aren't clean and I've been getting a lot of mice_comma_ and snakes follow them I think.;,I have heard that too. You might want to contact your local district.;,good idea;,No problem I hope everything works out;
MPATHY-000040-0004,I was the same way.;,Now that I am older though_comma_ my girlfriend tries to take away my Pc. Very rough days in my life.;,Lol. I take away my daughters now. I guess my mom passed the torch.;,Stop doing that_comma_ it is very important to have a pc. The internet is the future and very many jobs are opening up online.;,MPATHY-012974-0003,I am looking forward to the soccer season starting again;,Nice_comma_ you must be really anticipating it. Which soccer league will you watch?;,Today the English league starts_comma_ but I am Scottish - so I watch the Scottish league normally. I also co-own a team in Spain so will watch that too. It doesn't start for a couple of weeks.;,Sounds good_comma_ today I'll be watching my favorite team play. I am also anticipating the match.;,MPATHY-000074-0003,My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. ;,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!;,Yeah_comma_ thank you! at which situation did you feel hope for your life?;,When my first daugther was born! i saw in new life_comma_ i thought everything in the world can change_comma_ we need to be pure as kids.;
MPATHY-000001-0005,dont you feel so.. its a wonder ;,I do actually hit blank walls a lot of times but i get by;,i virtually thought so.. and i used to get sweatings;,Wait what are sweatings;,MPATHY-012974-0001,[empty line],[empty line],I am looking forward to the soccer season starting again;,Nice_comma_ you must be really anticipating it. Which soccer league will you watch?;,MPATHY-000039-0003,Hi I was recently on vacation and frightened half to death.;,Oh_comma_ my_comma_ what happened?;,I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls.;,I live near the ocean_comma_ so I do understand how this can be. I hope you ran_comma_ very quickly.;
MPATHY-000021-0002,[empty line],What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.;,That's very scary. I hope no one got hurt.;,We were OK_comma_ though the tree broke through only a few feet away from my daughter.;,MPATHY-000039-0004,Oh_comma_ my_comma_ what happened?;,I was eating some chips on the balcony. I dropped them and then was swarmed by seagulls.;,I live near the ocean_comma_ so I do understand how this can be. I hope you ran_comma_ very quickly.;,I went inside. I donr know how dangerous they are but I didnt want to fall 7 stories.;,MPATHY-000021-0003,What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.;,That's very scary. I hope no one got hurt.;,We were OK_comma_ though the tree broke through only a few feet away from my daughter.;,So happy everyone was fine!! Everything else can be fixed.;
MPATHY-000074-0002,[empty line],My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. ;,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!;,Yeah_comma_ thank you! at which situation did you feel hope for your life?;,MPATHY-000074-0001,[empty line],[empty line],My marriage give me hopefulness about the life. exactly I want to say is may not it's marriage actually it's my wife given me the hope about the life. ;,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!;,MPATHY-000074-0004,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!;,Yeah_comma_ thank you! at which situation did you feel hope for your life?;,When my first daugther was born! i saw in new life_comma_ i thought everything in the world can change_comma_ we need to be pure as kids.;,Wow! you're right. We should learn from kids. ;
MPATHY-000001-0001,[empty line],[empty line],it feels like hitting to blank wall when i see the darkness;,Oh ya? I don't really see how;,MPATHY-000021-0005,We were OK_comma_ though the tree broke through only a few feet away from my daughter.;,So happy everyone was fine!! Everything else can be fixed.;,Indeed. We were out of the house for five months while repairs were being done_comma_ but now the house is better than ever.;,So good to hear. Might want to trim some trees lol;,MPATHY-012974-0006,Sounds good_comma_ today I'll be watching my favorite team play. I am also anticipating the match.;,Who do you support? Man Utd?;,Yes_comma_ they take on Leicester City;,I hope they win.;
MPATHY-000001-0002,[empty line],it feels like hitting to blank wall when i see the darkness;,Oh ya? I don't really see how;,dont you feel so.. its a wonder ;,MPATHY-000029-0004,Why did you feel guilty for taking a drink?;,It was not my thing and the moment I took I did wrong. Later in the night I started feeling bad.;,I can understand. I am not a big drinker myself_comma_ but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.;,Yeah I did to my mum and dad...When I started vomiting I mess my dress and mum knew. ;,MPATHY-000000-0002,[empty line],I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people_comma_ we felt like the only people in the world.;,Was this a friend you were in love with_comma_ or just a best friend?;,This was a best friend. I miss her.;
MPATHY-012751-0004,What kind of restaurant?;,a soul food restaurant. It was terrible.;,Oh_comma_ I'm sorry to hear that.;,I was really disappointed;,MPATHY-000040-0003,When i was younger_comma_ my mother would always take away my PC because I would always play video games on them.;,I was the same way.;,Now that I am older though_comma_ my girlfriend tries to take away my Pc. Very rough days in my life.;,Lol. I take away my daughters now. I guess my mom passed the torch.;,MPATHY-000029-0003,I never took a drink before and my friends were all over me to take a drink;,Why did you feel guilty for taking a drink?;,It was not my thing and the moment I took I did wrong. Later in the night I started feeling bad.;,I can understand. I am not a big drinker myself_comma_ but I wouldn't feel guilty about it.  Not unless you promised someone you wouldn't drink.;
MPATHY-000000-0001,[empty line],[empty line],I remember going to see the fireworks with my best friend. It was the first time we ever spent time alone together. Although there was a lot of people_comma_ we felt like the only people in the world.;,Was this a friend you were in love with_comma_ or just a best friend?;,MPATHY-012974-0002,[empty line],I am looking forward to the soccer season starting again;,Nice_comma_ you must be really anticipating it. Which soccer league will you watch?;,Today the English league starts_comma_ but I am Scottish - so I watch the Scottish league normally. I also co-own a team in Spain so will watch that too. It doesn't start for a couple of weeks.;,MPATHY-000029-0002,[empty line],I never took a drink before and my friends were all over me to take a drink;,Why did you feel guilty for taking a drink?;,It was not my thing and the moment I took I did wrong. Later in the night I started feeling bad.;
MPATHY-000040-0001,[empty line],[empty line],When i was younger_comma_ my mother would always take away my PC because I would always play video games on them.;,I was the same way.;,MPATHY-000021-0001,[empty line],[empty line],What a difference a year makes. Last year one evening my family was at home when a tree fell on the house and broke through the ceiling.;,That's very scary. I hope no one got hurt.;,MPATHY-012974-0004,Nice_comma_ you must be really anticipating it. Which soccer league will you watch?;,Today the English league starts_comma_ but I am Scottish - so I watch the Scottish league normally. I also co-own a team in Spain so will watch that too. It doesn't start for a couple of weeks.;,Sounds good_comma_ today I'll be watching my favorite team play. I am also anticipating the match.;,Who do you support? Man Utd?;
