NUMBER_1,DIALOG_1_1,DIALOG_1_2,DIALOG_1_3,DIALOG_1_4,NUMBER_2,DIALOG_2_1,DIALOG_2_2,DIALOG_2_3,DIALOG_2_4,NUMBER_3,DIALOG_3_1,DIALOG_3_2,DIALOG_3_3,DIALOG_3_4
TPCCHT-000006-11,that is wild did you know that michigan state university library has the largest publicly available comic book collection in the world,i didnt know that i wonder how many people use it by comparison to japan the us comic book market in the us and canada is 109 billion,thats crazy japan is way more into comic books than america it seems,i agree the marvel cinematic universe takes place in earth 199999 a multiverse different from the original comic book multiverse earth616,TPCCHT-000008-7,7500 is amazingly low i guess since darth vader was masked jones could just record everything at once in the studio,agreed can you also believe that george lucas wife at the time marcia won an academy award for her editing on star wars and yet george lucas didnt win an academy award for directing that is just downright unbelievable,a lot of people think the ot was so much better than the prequels because of her influence,yeah it was because of her that so many major changes were made like leias good luck kiss obi wans death etc she was truly a big influence,TPCCHT-000001-18,yes and then he also invented names like jessica olivia and miranda,yes and for his works you have to use old english for it to make sense,yes otherwise the rhymes and puns do not seem to work out,yes he lived at the same time as pocahontas too
TPCCHT-000001-16,yes i do do you know that he popularized many phrases,yes like good riddance in my heart of hearts and such,yes and then he also invented names like jessica olivia and miranda,yes and for his works you have to use old english for it to make sense,TPCCHT-000007-15,japan has a great printing history i am not surprised about this do you read comics books i have read a few but not about superheroes,i used to in my childhood but not any more i used to love inspector gadget,was inspect gadget a comics on paper or a cartoon on tv i was talking about what marvel is publishing,on paper and yes i do recall seeing superhero and hulk books,TPCCHT-000003-4,i love to dance a lot how about you,i am really bad but it is a good time,dancing is a lot of fun did you know that bruce lee was a great dancer,i heard that winning cha cha championships and everything
TPCCHT-000003-20,i heard that some professional ballet dancer can go through four pairs of shoes in a week,that is crazy that cant be cheap for them,no i think its very expensive for them to be professional ballet dancers based on this,it has been great chatting but i must go gotta go get my bruce lee on the martial arts part definitely not the dance,TPCCHT-000008-6,agreed isnt it also funny james earl jones only spent two and half hours recording his lines for darth vader i also cant believe he was only paid 7500 geez thats pocket change,7500 is amazingly low i guess since darth vader was masked jones could just record everything at once in the studio,agreed can you also believe that george lucas wife at the time marcia won an academy award for her editing on star wars and yet george lucas didnt win an academy award for directing that is just downright unbelievable,a lot of people think the ot was so much better than the prequels because of her influence,TPCCHT-000008-4,hi yes i am a huge fan of star wars i also loved how it was the first major movie to be dubbed in navajo i think that is so cool,yeah thats wild i guess it takes a pretty small audience to pay for the translation work,agreed isnt it also funny james earl jones only spent two and half hours recording his lines for darth vader i also cant believe he was only paid 7500 geez thats pocket change,7500 is amazingly low i guess since darth vader was masked jones could just record everything at once in the studio
TPCCHT-000001-17,yes like good riddance in my heart of hearts and such,yes and then he also invented names like jessica olivia and miranda,yes and for his works you have to use old english for it to make sense,yes otherwise the rhymes and puns do not seem to work out,TPCCHT-000002-1,[empty line],[empty line],hey whats up do use google very ofteni really love the company and was surprised to hear that it was founded back in 1998,i think everyone must use it daily its become ingrained in every day life,TPCCHT-000000-15,did you know that a seahorse is the only fish to have a neck,freshwater fish only drink water through the skin via osmosis saltwater fish drink water through the mouth dolphins are friendly to human beings,interesting they also have gills did you know that jellyfish are immortal,yes fish is the important resources of human world wide for the commercial and subsistence fish hunts the fish in the wild fisheries
TPCCHT-000006-18,that interesting uranus is different to it actually rotates sideways and rolls around the sun rather than spins like the other planets,thats really interesting ive also heard that jupiters moon ganymede would be considered a planet if it orbited the sun,it must be pretty big then i wouldnt want to ever visit the unnamed planet where shards of glass precipitate sideways at 4500 mph,i dont see that being a pleasant place its even 2000 degree weather that sounds like hell to me,TPCCHT-000009-1,[empty line],[empty line],naming a cloned cat copy cat thats cute,you must have esp i was going to tell you teh same thing i have a sad story to tell there are less tigers living in the wild in asia than as pets in the us,TPCCHT-000008-19,yeah i dont remember that at all he definitely doesnt seem like the type,indeed he doesnt but ive always liked chewbacca because he reminded me of a giant dog ha speaking of dogs i think its cool that dogs along with elephants are the only animals that understand pointing,i wouldnt be surprised if cats understood it but just didnt care lol,ha no kidding speaking of dogs and cats i like how google prefers dogs over cats and even states in their code of conduct that theyre a dog company that is awesome
TPCCHT-000000-13,by the way do you like fish,yes they form a sister group of tourniquets they make the sea water clean and remove the dust from it fish is the biggest part in the ecosystem,did you know that a seahorse is the only fish to have a neck,freshwater fish only drink water through the skin via osmosis saltwater fish drink water through the mouth dolphins are friendly to human beings,TPCCHT-000009-31,that makes sense i always thought sharks were pretty interesting because they have cartilage instead of bone,yes fascinating fact tuna also hold a higher core temperature they are in the same class as shark because they are also active swimmers,tuna can get quite large too its cool how big some fish get,one more before we godid you know domesticated animals develop a white patch on their forehead,TPCCHT-000004-20,yeah did you know that his works have to stick to the old english language to make sense,yes especially with punk and rhymes they do not work with modern language,yeah did you know tchaikozsky donated his skull in hopes it will be used in shakespeares plays,yes and did get used so that is good nice chat
TPCCHT-000006-15,thats pretty wild marvel published a generic comic book in order to trademark the names superhero and supervillain that was pretty smart of them,no doubt do you know much about the planets or the universe,i know a little bit ive heard that venus does not tilt,that interesting uranus is different to it actually rotates sideways and rolls around the sun rather than spins like the other planets,TPCCHT-000001-19,yes and for his works you have to use old english for it to make sense,yes otherwise the rhymes and puns do not seem to work out,yes he lived at the same time as pocahontas too,i wonder if they met how that would go from there,TPCCHT-000008-18,same here like i also had forgotten that before his companionship with chewbacca hans solo was an imperial lieutenant,yeah i dont remember that at all he definitely doesnt seem like the type,indeed he doesnt but ive always liked chewbacca because he reminded me of a giant dog ha speaking of dogs i think its cool that dogs along with elephants are the only animals that understand pointing,i wouldnt be surprised if cats understood it but just didnt care lol
TPCCHT-000008-13,i never felt strongly about chewbacca one way or the other tbh but ive got to google a picture of that bat to see what it looks like,i would like to see it as well did you know chewbacca actually had a wife and two boys thats pretty interesting,i vaguely recall reading something in the star wars fictional universe where a young han solo stayed with chewbacca and his mom in their home,thats so weird isnt it ha are you one of the fans who believes both r2d2 and chewbacca were secret rebel agents i kind of think its an interesting theory,TPCCHT-000002-4,i think everyone must use it daily its become ingrained in every day life,agreed the google headquarters in mountain view california is nicknamed the google plex,thats funny the current ceo is sundar pichai i didnt know larry page was replaced,oh yeah i didnt know that either i also want to go to google plex to see the goats who mow their lawn by eating it,TPCCHT-000003-8,yes that is amazing he won the hong kong chacha championship back in 1958 in fact,i always just thought of him as a martial arts legend now he is a dance legend of sorts too,yeah that is correct he was a fantastic martial artist did you know that tupac danced ballet in high school,yeah he was the mouse king in the nutcracker thats pretty cool i would definitely never have guessed that about him
TPCCHT-000004-8,yeah that is a lot of shoes and also a lot of money,yeah babies are also really good at dancing when they hear music,yes and they smile more when they hit the beat,yeah pretty cute did you know tupac was a ballet dancer,TPCCHT-000004-2,[empty line],do you like dance,i love it did you know bruce lee was a dancer,yes he even won a cha cha championship in 1958,TPCCHT-000007-5,yeah and there is even places that exist but we never will be able to see because they are too far away,they are saying space pulls galaxies outside of universe that we could see,yes that is what i was saying albeit i doubt that there is only one electron in the universe like some people say,i dont see anything supporting or denying that theory so we would never know for sure
TPCCHT-000009-2,[empty line],naming a cloned cat copy cat thats cute,you must have esp i was going to tell you teh same thing i have a sad story to tell there are less tigers living in the wild in asia than as pets in the us,really thats awful to hear,TPCCHT-000005-18,speaking of cats i would love to get a glow in the dark one they have those in south korea,wow in japana and taiwan there are cat cafes where you can play with them,that seems fun that reminds me of the anderson house bed and breakfast in minnesota they used to offer a free cat for the night when you booked a room,wow there is a town in alaska where the mayor of the town is a cat,TPCCHT-000000-14,yes they form a sister group of tourniquets they make the sea water clean and remove the dust from it fish is the biggest part in the ecosystem,did you know that a seahorse is the only fish to have a neck,freshwater fish only drink water through the skin via osmosis saltwater fish drink water through the mouth dolphins are friendly to human beings,interesting they also have gills did you know that jellyfish are immortal
